uid,formula_clean,charge,charge_state,n_lines,CID,MolecularWeight,IUPACName,SMILES,InChIKey,HeavyAtomCount,Charge
382,C10H8,-1,anion,48,931,128.17,naphthalene,C1=CC=C2C=CC=CC2=C1,UFWIBTONFRDIAS-UHFFFAOYSA-N,10,0
330,C10H8,0,neutral,48,931,128.17,naphthalene,C1=CC=C2C=CC=CC2=C1,UFWIBTONFRDIAS-UHFFFAOYSA-N,10,0
499,C10H8O,0,neutral,51,8663,144.17,naphthalen-2-ol,C1=CC=C2C=C(C=CC2=C1)O,JWAZRIHNYRIHIV-UHFFFAOYSA-N,11,0
499,C10H8O,0,neutral,51,7005,144.17,naphthalen-1-ol,C1=CC=C2C(=C1)C=CC=C2O,KJCVRFUGPWSIIH-UHFFFAOYSA-N,11,0
497,C10H8O,0,neutral,51,8663,144.17,naphthalen-2-ol,C1=CC=C2C=C(C=CC2=C1)O,JWAZRIHNYRIHIV-UHFFFAOYSA-N,11,0
497,C10H8O,0,neutral,51,7005,144.17,naphthalen-1-ol,C1=CC=C2C(=C1)C=CC=C2O,KJCVRFUGPWSIIH-UHFFFAOYSA-N,11,0
475,C10H9N,0,neutral,54,8640,143.18,naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,RUFPHBVGCFYCNW-UHFFFAOYSA-N,11,0
475,C10H9N,0,neutral,54,7057,143.18,naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,JBIJLHTVPXGSAM-UHFFFAOYSA-N,11,0
473,C10H9N,0,neutral,54,8640,143.18,naphthalen-1-amine,C1=CC=C2C(=C1)C=CC=C2N,RUFPHBVGCFYCNW-UHFFFAOYSA-N,11,0
473,C10H9N,0,neutral,54,7057,143.18,naphthalen-2-amine,C1=CC=C2C=C(C=CC2=C1)N,JBIJLHTVPXGSAM-UHFFFAOYSA-N,11,0
424,C10H8O2,0,neutral,54,11305,160.17,"naphthalene-1,4-diol",C1=CC=C2C(=C1)C(=CC=C2O)O,PCILLCXFKWDRMK-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,7091,160.17,"naphthalene-2,3-diol",C1=CC=C2C=C(C(=CC2=C1)O)O,JRNGUTKWMSBIBF-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,6749,160.17,"naphthalene-1,5-diol",C1=CC2=C(C=CC=C2O)C(=C1)O,BOKGTLAJQHTOKE-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,8601,160.17,"naphthalene-1,3-diol",C1=CC=C2C(=C1)C=C(C=C2O)O,XOOMNEFVDUTJPP-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,11397,160.17,"naphthalene-2,7-diol",C1=CC(=CC2=C1C=CC(=C2)O)O,DFQICHCWIIJABH-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,11318,160.17,"naphthalene-1,2-diol",C1=CC=C2C(=C1)C=CC(=C2O)O,NXPPAOGUKPJVDI-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,68463,160.17,"naphthalene-1,6-diol",C1=CC2=C(C=CC(=C2)O)C(=C1)O,FZZQNEVOYIYFPF-UHFFFAOYSA-N,12,0
424,C10H8O2,0,neutral,54,68462,160.17,"naphthalene-1,7-diol",C1=CC2=C(C=C(C=C2)O)C(=C1)O,ZUVBIBLYOCVYJU-UHFFFAOYSA-N,12,0
