uid,frequency,intensity
382,165.5162,0.0
382,177.6307,2.1953
382,298.9093,0.0
382,357.474,4.2497
382,467.0456,2.5744
382,500.6674,0.0
382,501.2223,0.0
382,503.7891,0.0
382,565.5966,0.0
382,598.0701,9.751
382,650.1019,0.0
382,687.6104,0.0
382,696.7716,101.3004
382,701.2488,0.0
382,716.4698,0.0
382,722.6968,12.7533
382,737.1627,0.0
382,780.564,4.5375
382,785.7784,0.0
382,828.8514,0.0
382,847.2362,0.0
382,878.1404,0.0
382,1010.8156,86.1012
382,1040.3986,0.0
382,1052.7501,0.0
382,1077.5812,15.6547
382,1132.0902,4.8961
382,1133.097,0.0
382,1190.5974,128.0625
382,1191.183,0.0
382,1233.6867,9.856
382,1341.6701,0.0
382,1366.2799,0.8395
382,1375.6554,41.4205
382,1380.1115,0.0
382,1414.6556,0.0
382,1443.3992,0.0
382,1502.2112,13.9018
382,1503.2456,113.5388
382,1568.9736,0.0
382,2981.6249,0.0
382,2984.3472,0.2909
382,2992.3287,82.4253
382,2998.1199,0.0
382,3005.0755,0.0
382,3010.1108,301.3933
382,3020.8932,223.4917
382,3026.5353,0.0
330,172.356,1.5534
330,186.2621,0.0
330,356.4536,1.2099
330,388.5816,0.0
330,472.1743,0.0
330,481.8409,12.2288
330,507.1189,0.0
330,509.7865,0.0
330,620.4699,0.0
330,622.5014,3.4277
330,720.0374,0.0
330,760.186,0.0
330,769.4189,0.0
330,787.9869,90.8148
330,791.5036,0.3353
330,835.267,0.0
330,882.0023,0.0
330,927.7888,0.0
330,929.8361,0.0
330,943.7831,3.3684
330,965.3445,0.0
330,973.8727,0.0
330,1023.0611,4.5771
330,1033.6724,0.0
330,1121.2396,3.1219
330,1144.6499,0.0
330,1147.4468,0.7068
330,1157.1768,0.0
330,1205.3108,0.9822
330,1238.1511,0.0
330,1256.8352,7.9748
330,1366.0429,1.1856
330,1372.642,0.0
330,1386.8024,3.0095
330,1459.3767,0.0
330,1462.7218,0.0
330,1518.4897,7.2978
330,1579.4852,0.0
330,1607.2458,4.9442
330,1635.6912,0.0
330,3045.8635,0.0
330,3047.7752,8.8013
330,3049.3233,0.889
330,3052.879,0.0
330,3063.8007,0.0
330,3065.0042,69.6558
330,3076.5572,59.4327
330,3077.7675,0.0
499,139.5773,0.4421
499,172.8344,3.9253
499,259.3934,4.3867
499,278.2744,6.2934
499,360.3655,113.1342
499,424.2453,0.3945
499,459.9552,0.5814
499,469.0216,0.4005
499,476.6155,0.8342
499,521.7234,4.9203
499,572.4467,1.185
499,573.3127,3.411
499,632.3324,1.0691
499,711.0862,3.123
499,729.5997,1.9609
499,772.1706,54.8427
499,784.5038,6.351
499,786.4681,41.2079
499,835.5437,0.0
499,869.4965,1.3001
499,872.6948,10.377
499,934.5805,0.0195
499,943.611,1.8162
499,971.4003,0.0013
499,1027.5581,15.6982
499,1048.4395,39.4698
499,1087.7862,15.0482
499,1139.7614,9.5621
499,1149.8848,15.2023
499,1160.4621,3.7147
499,1194.9577,30.6803
499,1229.7709,37.9499
499,1241.8477,23.8118
499,1277.7893,79.0584
499,1363.1246,12.5431
499,1384.2125,45.466
499,1403.329,18.7982
499,1458.232,7.6112
499,1467.7713,6.9192
499,1523.8746,13.4327
499,1585.3419,51.4543
499,1606.7537,28.1089
499,1637.0618,12.4891
499,3039.1201,20.3686
499,3049.5953,1.0014
499,3057.6644,5.1363
499,3061.6204,20.1903
499,3074.3145,40.7943
499,3075.8376,19.4387
499,3096.4608,8.4425
499,3601.3994,46.9988
497,122.3945,0.663
497,180.924,3.1168
497,284.3555,4.1529
497,296.4761,1.2764
497,318.1087,116.3782
497,403.4659,0.2587
497,418.6112,4.5316
497,460.0677,0.7042
497,475.8419,8.0236
497,522.3755,0.1404
497,532.3332,0.1616
497,623.5295,7.5238
497,635.6622,0.4056
497,713.065,5.0741
497,744.5925,7.0871
497,750.99,17.4819
497,766.1711,0.0855
497,794.2122,35.9375
497,845.5936,22.2149
497,871.294,10.7188
497,897.2807,15.8258
497,916.7491,0.0908
497,935.2642,3.5521
497,960.2919,16.6277
497,966.1785,0.0447
497,1028.4761,1.2747
497,1119.3751,14.302
497,1144.6682,9.3811
497,1150.8805,9.7397
497,1164.145,83.305
497,1197.4563,52.5638
497,1220.7051,17.6815
497,1253.573,15.9508
497,1275.6331,151.234
497,1370.9899,2.4426
497,1377.4988,27.4833
497,1386.185,1.9328
497,1453.8917,30.3551
497,1478.0425,12.4984
497,1520.9928,69.7918
497,1581.1251,14.5292
497,1618.1885,9.696
497,1644.0839,75.5818
497,3036.5186,16.0623
497,3047.1368,4.7394
497,3052.0202,0.3257
497,3061.6955,15.7089
497,3065.3576,38.4879
497,3076.0968,16.2457
497,3078.272,21.8874
497,3603.4085,55.8887
475,131.4233,0.7077
475,171.7743,2.1917
475,252.7787,5.0071
475,273.6244,7.311
475,323.8183,25.074
475,419.0567,10.397
475,450.3375,1.6462
475,468.7447,0.4247
475,477.3516,2.0369
475,511.6536,1.1442
475,563.6199,14.4339
475,573.3783,1.2911
475,622.6013,55.4932
475,681.1823,217.0508
475,713.5636,27.2729
475,730.1249,15.0082
475,772.5483,47.6874
475,785.0337,14.5757
475,790.4292,39.1964
475,844.8738,11.23
475,864.4148,2.0725
475,874.1414,2.7216
475,928.3867,0.9768
475,939.1236,0.5567
475,964.7963,0.3165
475,1023.0465,7.3423
475,1041.2044,0.8201
475,1081.9905,5.285
475,1119.9771,3.8258
475,1143.1531,0.4883
475,1161.6562,1.5713
475,1173.0683,0.7763
475,1215.3636,0.4082
475,1246.6955,1.8565
475,1284.5569,34.1143
475,1361.3525,0.063
475,1376.7119,15.4354
475,1404.3585,35.3703
475,1455.6894,11.0882
